026040.KQ,제이에스티나,귀금속 및 장신용품 제조업
119850.KQ,지엔씨에너지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
204840.KQ,지엘팜텍,자연과학 및 공학 연구개발업
109820.KQ,진매트릭스,자연과학 및 공학 연구개발업
036890.KQ,진성티이씨,특수 목적용 기계 제조업
900040.KQ,차이나그레이트,기타 금융업
900310.KQ,컬러레이,회사 본부 및 경영 컨설팅 서비스업
258790.KQ,케이비제11호스팩,금융 지원 서비스업
073010.KQ,케이에스피,일반 목적용 기계 제조업
039420.KQ,케이엘넷,전기 통신업
032500.KQ,케이엠더블유,통신 및 방송 장비 제조업
036690.KQ,코맥스,통신 및 방송 장비 제조업
045970.KQ,코아시아홀딩스,"그외 기타 전문, 과학 및 기술 서비스업"
015710.KQ,코콤,통신 및 방송 장비 제조업
114120.KQ,크루셜텍,전자부품 제조업
083790.KQ,크리스탈,자연과학 및 공학 연구개발업
214150.KQ,클래시스,의료용 기기 제조업
023160.KQ,태광,1차 철강 제조업
182690.KQ,테라셈,반도체 제조업
200230.KQ,텔콘,통신 및 방송 장비 제조업
215480.KQ,토박스코리아,"섬유, 의복, 신발 및 가죽제품 소매업"
066410.KQ,투윈글로벌,"영화, 비디오물, 방송프로그램 제작 및 배급업"
062860.KQ,티엘아이,반도체 제조업
194510.KQ,파티게임즈,소프트웨어 개발 및 공급업
022100.KQ,포스코 ICT,"건축기술, 엔지니어링 및 관련 기술 서비스업"
053610.KQ,프로텍,특수 목적용 기계 제조업
051380.KQ,피씨디렉트,기계장비 및 관련 물품 도매업
241820.KQ,피씨엘,의료용품 및 기타 의약 관련제품 제조업
064800.KQ,필링크,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
217500.KQ,하이제3호스팩,금융 지원 서비스업
222980.KQ,한국맥널티,기타 식품 제조업
063570.KQ,한국전자금융,기타 사업지원 서비스업
099660.KQ,한솔신텍,"구조용 금속제품, 탱크 및 증기발생기 제조업"
005860.KQ,한일사료,동물용 사료 및 조제식품 제조업
134780.KQ,화진,자동차 신품 부품 제조업
050090.KQ,휘닉스소재,전자부품 제조업
065510.KQ,휴비츠,의료용 기기 제조업
060310.KQ,3S,특수 목적용 기계 제조업
083660.KQ,CSA 코스믹,플라스틱제품 제조업
130500.KQ,GH신소재,기타 섬유제품 제조업
276920.KQ,IBKS제7호스팩,금융 지원 서비스업
035900.KQ,JYP Ent.,오디오물 출판 및 원판 녹음업
024120.KQ,KB오토시스,자동차 신품 부품 제조업
021320.KQ,KCC건설,건물 건설업
044180.KQ,KD건설,건물 건설업
083470.KQ,KJ프리텍,플라스틱제품 제조업
114450.KQ,KPX생명과학,기초 의약물질 및 생물학적 제제 제조업
060250.KQ,NHN한국사이버결제,기타 정보 서비스업
019550.KQ,SBI인베스트먼트,신탁업 및 집합투자업
036540.KQ,SFA반도체,반도체 제조업
184230.KQ,SGA솔루션즈,소프트웨어 개발 및 공급업
048550.KQ,SM C&C,"영화, 비디오물, 방송프로그램 제작 및 배급업"
052300.KQ,W홀딩컴퍼니,기타 운송관련 서비스업
051390.KQ,YW,상품 종합 도매업
