071970.KS,STX중공업,일반 목적용 기계 제조업
000500.KS,가온전선,절연선 및 케이블 제조업
002100.KS,경농,"비료, 농약 및 살균, 살충제 제조업"
012320.KS,경동인베스트,기타 금융업
017040.KS,광명전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
017900.KS,광전자,반도체 제조업
037710.KS,광주신세계,종합 소매업
014530.KS,극동유화,석유 정제품 제조업
001210.KS,금호전기,전구 및 조명장치 제조업
002070.KS,남영비비안,봉제의복 제조업
023590.KS,다우기술,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
128820.KS,대성산업,연료 소매업
015230.KS,대창단조,자동차 신품 부품 제조업
006650.KS,대한유화,기초 화학물질 제조업
001130.KS,대한제분,"곡물가공품, 전분 및 전분제품 제조업"
016090.KS,대현,봉제의복 제조업
004830.KS,덕성,플라스틱제품 제조업
002150.KS,도화엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업"
007590.KS,동방아그로,"비료, 농약 및 살균, 살충제 제조업"
016380.KS,동부제철,1차 철강 제조업
001520.KS,동양,"시멘트, 석회, 플라스터 및 그 제품 제조업"
000020.KS,동화약품,의약품 제조업
241560.KS,두산밥캣,기타 금융업
011170.KS,롯데케미칼,기초 화학물질 제조업
002840.KS,미원상사,기타 화학제품 제조업
003650.KS,미창석유공업,석유 정제품 제조업
003610.KS,방림,직물직조 및 직물제품 제조업
096300.KS,베트남개발1,신탁업 및 집합투자업
007210.KS,벽산,기타 비금속 광물제품 제조업
003000.KS,부광약품,의약품 제조업
001270.KS,부국증권,금융 지원 서비스업
015350.KS,부산도시가스,연료용 가스 제조 및 배관공급업
006660.KS,삼성공조,자동차 신품 부품 제조업
068290.KS,삼성출판사,"서적, 잡지 및 기타 인쇄물 출판업"
000810.KS,삼성화재해상보험,보험업
002170.KS,삼양통상,"가죽, 가방 및 유사제품 제조업"
009770.KS,삼정펄프,"펄프, 종이 및 판지 제조업"
008490.KS,서흥,기타 화학제품 제조업
003080.KS,성보화학,"비료, 농약 및 살균, 살충제 제조업"
005980.KS,성지건설,토목 건설업
067830.KS,세이브존I&C,종합 소매업
005390.KS,신성통상,기타 전문 도매업
035510.KS,신세계I&C,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
002870.KS,신풍제지,"펄프, 종이 및 판지 제조업"
004770.KS,써니전자,반도체 제조업
004920.KS,씨아이테크,그외 기타 제품 제조업
090430.KS,아모레퍼시픽,기타 화학제품 제조업
002030.KS,아세아,회사 본부 및 경영 컨설팅 서비스업
010780.KS,아이에스동서,"내화, 비내화 요업제품 제조업"
033660.KS,아주캐피탈,기타 금융업
007460.KS,에이프로젠KIC,기타 금속 가공제품 제조업
004720.KS,우리들제약,의약품 제조업
014830.KS,유니드,기초 화학물질 제조업
093230.KS,이아이디,기타 전문 도매업
006490.KS,인스코비,전기 통신업
000230.KS,일동홀딩스,기타 금융업
071320.KS,지역난방공사,"증기, 냉·온수 및 공기조절 공급업"
003780.KS,진양산업,플라스틱제품 제조업
029460.KS,케이씨,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
030200.KS,케이티,전기 통신업
053210.KS,케이티스카이라이프,텔레비전 방송업
900140.KS,코라오홀딩스,기타 금융업
284740.KS,쿠쿠홈시스,개인 및 가정용품 임대업
005740.KS,크라운해태홀딩스,기타 금융업
003240.KS,태광산업,화학섬유 제조업
004870.KS,티웨이홀딩스,반도체 제조업
099340.KS,하나니켈1호,신탁업 및 집합투자업
099350.KS,하나니켈2호,신탁업 및 집합투자업
039130.KS,하나투어,여행사 및 기타 여행보조 서비스업
005430.KS,한국공항,기타 운송관련 서비스업
071050.KS,한국금융지주,기타 금융업
002000.KS,한국유리공업,유리 및 유리제품 제조업
104700.KS,한국철강,1차 철강 제조업
161390.KS,한국타이어,고무제품 제조업
000240.KS,한국타이어월드와이드,기타 금융업
007280.KS,한국특수형강,1차 철강 제조업
123690.KS,한국화장품,생활용품 도매업
042700.KS,한미반도체,특수 목적용 기계 제조업
